11-1011.00,Oral Comprehension,88
11-1011.00,Written Comprehension,81
11-1011.00,Oral Expression,85
11-1011.00,Written Expression,78
11-1011.00,Fluency of Ideas,72
11-1011.00,Originality,72
11-1011.00,Problem Sensitivity,75
11-1011.00,Deductive Reasoning,78
11-1011.00,Inductive Reasoning,75
11-1011.00,Information Ordering,66
11-1011.00,Category Flexibility,63
11-1011.00,Mathematical Reasoning,60
11-1011.00,Number Facility,56
11-1011.00,Memorization,50
11-1011.00,Speed of Closure,53
11-1011.00,Flexibility of Closure,60
11-1011.00,Perceptual Speed,53
11-1011.00,Spatial Orientation,3
11-1011.00,Visualization,53
11-1011.00,Selective Attention,50
11-1011.00,Time Sharing,50
11-1011.00,Arm-Hand Steadiness,0
11-1011.00,Manual Dexterity,0
11-1011.00,Finger Dexterity,31
11-1011.00,Control Precision,19
11-1011.00,Multilimb Coordination,19
11-1011.00,Response Orientation,0
11-1011.00,Rate Control,0
11-1011.00,Reaction Time,0
11-1011.00,Wrist-Finger Speed,0
11-1011.00,Speed of Limb Movement,0
11-1011.00,Static Strength,0
11-1011.00,Explosive Strength,0
11-1011.00,Dynamic Strength,0
11-1011.00,Trunk Strength,0
11-1011.00,Stamina,0
11-1011.00,Extent Flexibility,0
11-1011.00,Dynamic Flexibility,0
11-1011.00,Gross Body Coordination,0
11-1011.00,Gross Body Equilibrium,0
11-1011.00,Near Vision,72
11-1011.00,Far Vision,50
11-1011.00,Visual Color Discrimination,22
11-1011.00,Night Vision,0
11-1011.00,Peripheral Vision,0
11-1011.00,Depth Perception,19
11-1011.00,Glare Sensitivity,0
11-1011.00,Hearing Sensitivity,19
11-1011.00,Auditory Attention,28
11-1011.00,Sound Localization,0
11-1011.00,Speech Recognition,78
11-1011.00,Speech Clarity,78
11-1011.03,Oral Comprehension,75
11-1011.03,Written Comprehension,75
11-1011.03,Oral Expression,75
11-1011.03,Written Expression,72
11-1011.03,Fluency of Ideas,66
11-1011.03,Originality,66
11-1011.03,Problem Sensitivity,72
11-1011.03,Deductive Reasoning,75
11-1011.03,Inductive Reasoning,75
11-1011.03,Information Ordering,63
11-1011.03,Category Flexibility,60
11-1011.03,Mathematical Reasoning,47
11-1011.03,Number Facility,44
11-1011.03,Memorization,31
11-1011.03,Speed of Closure,35
11-1011.03,Flexibility of Closure,50
11-1011.03,Perceptual Speed,35
11-1011.03,Spatial Orientation,6
11-1011.03,Visualization,44
11-1011.03,Selective Attention,47
11-1011.03,Time Sharing,41
11-1011.03,Arm-Hand Steadiness,0
11-1011.03,Manual Dexterity,0
11-1011.03,Finger Dexterity,31
11-1011.03,Control Precision,19
11-1011.03,Multilimb Coordination,16
11-1011.03,Response Orientation,3
11-1011.03,Rate Control,3
11-1011.03,Reaction Time,6
11-1011.03,Wrist-Finger Speed,3
11-1011.03,Speed of Limb Movement,0
11-1011.03,Static Strength,0
11-1011.03,Explosive Strength,0
11-1011.03,Dynamic Strength,0
11-1011.03,Trunk Strength,3
11-1011.03,Stamina,0
11-1011.03,Extent Flexibility,0
11-1011.03,Dynamic Flexibility,0
11-1011.03,Gross Body Coordination,0
11-1011.03,Gross Body Equilibrium,0
11-1011.03,Near Vision,60
11-1011.03,Far Vision,41
11-1011.03,Visual Color Discrimination,25
11-1011.03,Night Vision,0
11-1011.03,Peripheral Vision,0
11-1011.03,Depth Perception,25
11-1011.03,Glare Sensitivity,0
11-1011.03,Hearing Sensitivity,25
