11-1011.00,Administration and Management,94
11-1011.00,Clerical,42
11-1011.00,Economics and Accounting,68
11-1011.00,Sales and Marketing,56
11-1011.00,Customer and Personal Service,77
11-1011.00,Personnel and Human Resources,78
11-1011.00,Production and Processing,41
11-1011.00,Food Production,4
11-1011.00,Computers and Electronics,31
11-1011.00,Engineering and Technology,19
11-1011.00,Design,26
11-1011.00,Building and Construction,28
11-1011.00,Mechanical,17
11-1011.00,Mathematics,60
11-1011.00,Physics,6
11-1011.00,Chemistry,11
11-1011.00,Biology,9
11-1011.00,Psychology,53
11-1011.00,Sociology and Anthropology,40
11-1011.00,Geography,15
11-1011.00,Medicine and Dentistry,9
11-1011.00,Therapy and Counseling,25
11-1011.00,Education and Training,56
11-1011.00,English Language,77
11-1011.00,Foreign Language,14
11-1011.00,Fine Arts,11
11-1011.00,History and Archeology,12
11-1011.00,Philosophy and Theology,18
11-1011.00,Public Safety and Security,58
11-1011.00,Law and Government,73
11-1011.00,Telecommunications,19
11-1011.00,Communications and Media,43
11-1011.00,Transportation,30
11-1011.03,Administration and Management,71
11-1011.03,Clerical,40
11-1011.03,Economics and Accounting,49
11-1011.03,Sales and Marketing,63
11-1011.03,Customer and Personal Service,66
11-1011.03,Personnel and Human Resources,43
11-1011.03,Production and Processing,31
11-1011.03,Food Production,16
11-1011.03,Computers and Electronics,41
11-1011.03,Engineering and Technology,59
11-1011.03,Design,68
11-1011.03,Building and Construction,67
11-1011.03,Mechanical,41
11-1011.03,Mathematics,53
11-1011.03,Physics,37
11-1011.03,Chemistry,34
11-1011.03,Biology,36
11-1011.03,Psychology,47
11-1011.03,Sociology and Anthropology,35
11-1011.03,Geography,37
11-1011.03,Medicine and Dentistry,6
11-1011.03,Therapy and Counseling,6
11-1011.03,Education and Training,62
11-1011.03,English Language,70
11-1011.03,Foreign Language,10
11-1011.03,Fine Arts,10
11-1011.03,History and Archeology,20
11-1011.03,Philosophy and Theology,21
11-1011.03,Public Safety and Security,35
11-1011.03,Law and Government,47
11-1011.03,Telecommunications,15
11-1011.03,Communications and Media,46
11-1011.03,Transportation,36
11-1021.00,Administration and Management,84
11-1021.00,Clerical,63
11-1021.00,Economics and Accounting,62
11-1021.00,Sales and Marketing,62
11-1021.00,Customer and Personal Service,74
11-1021.00,Personnel and Human Resources,69
11-1021.00,Production and Processing,60
11-1021.00,Food Production,9
11-1021.00,Computers and Electronics,58
11-1021.00,Engineering and Technology,36
11-1021.00,Design,35
11-1021.00,Building and Construction,38
11-1021.00,Mechanical,43
11-1021.00,Mathematics,64
11-1021.00,Physics,20
11-1021.00,Chemistry,24
11-1021.00,Biology,13
11-1021.00,Psychology,43
11-1021.00,Sociology and Anthropology,20
11-1021.00,Geography,19
11-1021.00,Medicine and Dentistry,14
11-1021.00,Therapy and Counseling,19
11-1021.00,Education and Training,49
11-1021.00,English Language,68
11-1021.00,Foreign Language,16
11-1021.00,Fine Arts,4
11-1021.00,History and Archeology,5
11-1021.00,Philosophy and Theology,13
