11-1011.00,Reading Comprehension,78
11-1011.00,Active Listening,78
11-1011.00,Writing,75
11-1011.00,Speaking,85
11-1011.00,Mathematics,56
11-1011.00,Science,22
11-1011.00,Critical Thinking,85
11-1011.00,Active Learning,75
11-1011.00,Learning Strategies,53
11-1011.00,Monitoring,78
11-1011.00,Social Perceptiveness,81
11-1011.00,Coordination,81
11-1011.00,Persuasion,78
11-1011.00,Negotiation,78
11-1011.00,Instructing,53
11-1011.00,Service Orientation,53
11-1011.00,Complex Problem Solving,85
11-1011.00,Operations Analysis,53
11-1011.00,Technology Design,19
11-1011.00,Equipment Selection,3
11-1011.00,Installation,0
11-1011.00,Programming,16
11-1011.00,Operation Monitoring,22
11-1011.00,Operation and Control,19
11-1011.00,Equipment Maintenance,0
11-1011.00,Troubleshooting,0
11-1011.00,Repairing,0
11-1011.00,Quality Control Analysis,19
11-1011.00,Judgment and Decision Making,88
11-1011.00,Systems Analysis,78
11-1011.00,Systems Evaluation,78
11-1011.00,Time Management,75
11-1011.00,Management of Financial Resources,78
11-1011.00,Management of Material Resources,72
11-1011.00,Management of Personnel Resources,81
11-1011.03,Reading Comprehension,75
11-1011.03,Active Listening,72
11-1011.03,Writing,72
11-1011.03,Speaking,75
11-1011.03,Mathematics,44
11-1011.03,Science,19
11-1011.03,Critical Thinking,75
11-1011.03,Active Learning,63
11-1011.03,Learning Strategies,60
11-1011.03,Monitoring,66
11-1011.03,Social Perceptiveness,69
11-1011.03,Coordination,66
11-1011.03,Persuasion,66
11-1011.03,Negotiation,47
11-1011.03,Instructing,56
11-1011.03,Service Orientation,56
11-1011.03,Complex Problem Solving,75
11-1011.03,Operations Analysis,41
11-1011.03,Technology Design,16
11-1011.03,Equipment Selection,3
11-1011.03,Installation,0
11-1011.03,Programming,16
11-1011.03,Operation Monitoring,31
11-1011.03,Operation and Control,16
11-1011.03,Equipment Maintenance,0
11-1011.03,Troubleshooting,3
11-1011.03,Repairing,0
11-1011.03,Quality Control Analysis,31
11-1011.03,Judgment and Decision Making,69
11-1011.03,Systems Analysis,66
11-1011.03,Systems Evaluation,66
11-1011.03,Time Management,60
11-1011.03,Management of Financial Resources,41
11-1011.03,Management of Material Resources,35
11-1011.03,Management of Personnel Resources,60
11-1021.00,Reading Comprehension,72
11-1021.00,Active Listening,75
11-1021.00,Writing,56
11-1021.00,Speaking,75
11-1021.00,Mathematics,35
11-1021.00,Science,22
11-1021.00,Critical Thinking,72
11-1021.00,Active Learning,63
11-1021.00,Learning Strategies,50
11-1021.00,Monitoring,75
11-1021.00,Social Perceptiveness,75
11-1021.00,Coordination,75
11-1021.00,Persuasion,60
11-1021.00,Negotiation,66
11-1021.00,Instructing,53
11-1021.00,Service Orientation,56
11-1021.00,Complex Problem Solving,63
11-1021.00,Operations Analysis,44
11-1021.00,Technology Design,22
11-1021.00,Equipment Selection,0
11-1021.00,Installation,0
11-1021.00,Programming,13
11-1021.00,Operation Monitoring,44
11-1021.00,Operation and Control,25
11-1021.00,Equipment Maintenance,0
11-1021.00,Troubleshooting,25
11-1021.00,Repairing,0
11-1021.00,Quality Control Analysis,35
11-1021.00,Judgment and Decision Making,63
11-1021.00,Systems Analysis,50
11-1021.00,Systems Evaluation,50
11-1021.00,Time Management,69
11-1021.00,Management of Financial Resources,53
11-1021.00,Management of Material Resources,56
11-1021.00,Management of Personnel Resources,63
11-2011.00,Reading Comprehension,69
11-2011.00,Active Listening,78
11-2011.00,Writing,69
11-2011.00,Speaking,75
11-2011.00,Mathematics,50
11-2011.00,Science,16
11-2011.00,Critical Thinking,75
11-2011.00,Active Learning,56
11-2011.00,Learning Strategies,50
11-2011.00,Monitoring,56
11-2011.00,Social Perceptiveness,75
11-2011.00,Coordination,63
11-2011.00,Persuasion,60
11-2011.00,Negotiation,53
11-2011.00,Instructing,47
11-2011.00,Service Orientation,53
11-2011.00,Complex Problem Solving,63
11-2011.00,Operations Analysis,44
11-2011.00,Technology Design,19
11-2011.00,Equipment Selection,3
11-2011.00,Installation,0
11-2011.00,Programming,19
11-2011.00,Operation Monitoring,16
11-2011.00,Operation and Control,0
11-2011.00,Equipment Maintenance,0
11-2011.00,Troubleshooting,0
11-2011.00,Repairing,0
11-2011.00,Quality Control Analysis,16
11-2011.00,Judgment and Decision Making,69
11-2011.00,Systems Analysis,53
11-2011.00,Systems Evaluation,53
11-2011.00,Time Management,63
11-2011.00,Management of Financial Resources,44
11-2011.00,Management of Material Resources,41
11-2011.00,Management of Personnel Resources,53
11-2021.00,Reading Comprehension,72
11-2021.00,Active Listening,72
11-2021.00,Writing,56
11-2021.00,Speaking,72
11-2021.00,Mathematics,44
11-2021.00,Science,19
